player_id,player_name,hands,vpip_pct,pfr_pct,three_bet_pct,three_bet_opportunities,aggression_factor,wtsd_pct,net_bb,bb_per_100,player_style,winrate_rank,vpip_percentile
23,SneakyRiver,203,5.4,2.5,0.0,77,1.33,66.7,234.0,115.27,Nit,1,0.0
26,TiltedBluff,193,31.1,24.9,7.8,64,2.09,36.4,199.0,103.11,LAG,2,0.83
2,BigRiver,197,26.4,20.3,11.3,71,4.8,38.7,184.5,93.65,LAG,3,0.69
12,IronRiver,211,14.7,12.3,6.8,73,2.83,47.6,182.7,86.61,TAG,4,0.28
4,ColdAce,214,21.5,17.3,9.5,84,5.67,46.9,157.3,73.49,TAG,5,0.52
30,WildDonk,194,9.8,7.7,2.7,73,3.0,60.0,129.0,66.49,Nit,6,0.03
10,DarkRock,171,18.1,14.6,4.1,73,3.5,30.8,94.5,55.26,TAG,7,0.45
28,TiltedFish,195,23.1,19.0,2.9,69,5.0,48.3,98.0,50.26,TAG,8,0.66
1,BigAce,212,33.0,24.5,5.6,72,4.0,39.0,82.5,38.92,LAG,9,0.93
29,TiltedShark,203,13.3,9.9,6.1,66,7.0,38.1,54.7,26.97,Nit,10,0.24
7,DarkDonk,216,13.0,9.3,0.0,66,0.88,19.0,46.5,21.53,Nit,11,0.17
25,TiltedAce,221,38.9,12.2,1.9,105,0.63,71.2,44.0,19.91,Loose-Passive,12,1.0
19,SilentRiver,223,29.6,8.5,1.0,105,0.91,69.6,40.5,18.16,Loose-Passive,13,0.76
22,SneakyManiac,197,21.8,18.8,5.0,60,4.67,33.3,34.8,17.64,TAG,14,0.55
9,DarkRiver,189,22.8,20.1,13.4,67,5.25,46.7,0.5,0.26,TAG,15,0.62
20,SilentRock,198,11.6,9.6,3.0,67,2.5,31.3,-3.0,-1.52,Nit,16,0.1
11,IronManiac,192,16.7,13.5,7.5,67,6.0,32.0,-31.3,-16.28,TAG,17,0.31
27,TiltedDonk,205,9.8,4.9,0.0,72,,33.3,-38.5,-18.78,Nit,18,0.03
18,RoyalShark,210,12.9,12.9,9.2,76,2.0,30.8,-60.0,-28.57,Nit,19,0.14
16,RoyalAce,209,19.6,16.7,4.2,71,10.0,47.6,-75.2,-36.0,TAG,20,0.48
13,IronShark,194,18.0,14.9,3.1,64,3.0,52.9,-81.8,-42.14,TAG,21,0.41
15,LuckyRock,184,13.0,11.4,2.9,69,3.5,54.5,-79.1,-42.98,Nit,22,0.17
8,DarkFish,196,29.1,12.8,6.0,84,0.78,56.5,-98.5,-50.26,Loose-Passive,23,0.72
6,ColdManiac,192,29.7,23.4,14.3,70,7.33,21.2,-96.5,-50.26,LAG,23,0.79
24,SneakyShark,175,22.3,18.3,8.1,62,8.0,36.4,-100.5,-57.43,TAG,25,0.59
14,LuckyBluff,185,17.3,14.1,6.1,66,5.0,45.5,-113.0,-61.08,TAG,26,0.38
21,SilentShark,198,16.7,12.6,2.7,74,1.5,56.5,-150.0,-75.76,TAG,27,0.31
17,RoyalBluff,215,31.6,9.3,0.0,85,0.52,77.4,-177.0,-82.33,Loose-Passive,28,0.9
5,ColdDonk,205,31.2,9.3,0.0,81,0.44,57.1,-173.2,-84.46,Loose-Passive,29,0.86
3,BigShark,203,35.5,14.3,0.0,79,0.53,72.3,-305.0,-150.25,Loose-Passive,30,0.97
